Martin Scorsese,Más Allá del Tiempo 5,Terror,1975,95
Steven Spielberg,Misión Imposible 60,Terror,1988,92
James Cameron,La Aventura Perdida 73,Acción,1998,142
Ridley Scott,En la Sombra 17,Drama,1980,141
Ridley Scott,La Aventura Perdida 22,Comedia,2010,83
Tim Burton,El Misterio 44,Comedia,2004,132
David Fincher,Secretos Oscuros 60,Fantasía,1956,134
Alfred Hitchcock,Guerra de Mundos 15,Terror,1990,168
Stanley Kubrick,Secretos Oscuros 1,Documental,1969,82
Martin Scorsese,Misión Imposible 11,Aventura,2012,121
Steven Spielberg,En la Sombra 70,Ciencia Ficción,1958,133
Martin Scorsese,Secretos Oscuros 86,Acción,2001,176
Quentin Tarantino,Sueños de Libertad 56,Acción,2010,92
Alfred Hitchcock,El Misterio 48,Drama,1950,128
James Cameron,Misión Imposible 12,Drama,1961,136
Christopher Nolan,El Regreso 22,Terror,1983,174
Alfred Hitchcock,Guerra de Mundos 51,Documental,1984,84
Martin Scorsese,El Misterio 15,Romance,1983,83
James Cameron,En la Sombra 71,Ciencia Ficción,1959,116
James Cameron,Secretos Oscuros 77,Fantasía,2011,86
Alfred Hitchcock,El Regreso 88,Suspenso,2020,132
Quentin Tarantino,El Misterio 32,Aventura,1962,106
Christopher Nolan,Horizonte Final 33,Aventura,1989,154
Martin Scorsese,Más Allá del Tiempo 11,Drama,1974,164
Steven Spielberg,El Misterio 77,Aventura,2012,100
Martin Scorsese,Guerra de Mundos 91,Drama,2023,100
Alfred Hitchcock,En la Sombra 97,Romance,2018,143
James Cameron,Misión Imposible 35,Terror,1992,117
Christopher Nolan,Sueños de Libertad 41,Romance,1968,125
Martin Scorsese,Guerra de Mundos 47,Terror,1975,106
David Fincher,En la Sombra 36,Romance,1970,122
James Cameron,Sueños de Libertad 74,Comedia,1995,160
Alfred Hitchcock,Horizonte Final 61,Aventura,1977,92
Ridley Scott,Misión Imposible 100,Acción,1989,165
Ridley Scott,El Regreso 84,Ciencia Ficción,2018,124
Steven Spielberg,Secretos Oscuros 80,Terror,1972,109
Ridley Scott,Secretos Oscuros 90,Fantasía,1995,93
Ridley Scott,En la Sombra 71,Drama,1980,168
Alfred Hitchcock,Más Allá del Tiempo 2,Documental,1992,136
Ridley Scott,La Aventura Perdida 9,Romance,1987,165
Stanley Kubrick,Secretos Oscuros 70,Comedia,1963,99
David Fincher,En la Sombra 10,Aventura,2005,133
Ridley Scott,Guerra de Mundos 59,Suspenso,2002,153
Martin Scorsese,Secretos Oscuros 74,Comedia,1986,90
Stanley Kubrick,El Misterio 49,Acción,1964,149
Christopher Nolan,El Misterio 58,Comedia,1965,95
David Fincher,Horizonte Final 27,Fantasía,1978,174
Ridley Scott,Sueños de Libertad 45,Ciencia Ficción,2005,169
Ridley Scott,La Aventura Perdida 86,Acción,1959,109
Ridley Scott,Guerra de Mundos 26,Terror,1983,154
Ridley Scott,Guerra de Mundos 10,Comedia,1967,145
James Cameron,Más Allá del Tiempo 16,Suspenso,1976,128
Martin Scorsese,Misión Imposible 75,Fantasía,1995,176
Alfred Hitchcock,Secretos Oscuros 80,Acción,1971,175
Steven Spielberg,En la Sombra 24,Fantasía,2007,95
James Cameron,El Regreso 62,Romance,1977,178
David Fincher,Más Allá del Tiempo 68,Ciencia Ficción,2008,132
Martin Scorsese,Sueños de Libertad 26,Terror,2009,161
Alfred Hitchcock,El Misterio 62,Drama,1988,87
Martin Scorsese,En la Sombra 59,Acción,1986,164
Christopher Nolan,Secretos Oscuros 87,Drama,2016,159
Steven Spielberg,Más Allá del Tiempo 67,Aventura,2015,120
Quentin Tarantino,El Regreso 39,Drama,1952,174
Martin Scorsese,En la Sombra 51,Comedia,1987,83
Alfred Hitchcock,Más Allá del Tiempo 56,Acción,2003,106
Alfred Hitchcock,El Regreso 23,Fantasía,1984,109
Tim Burton,El Misterio 47,Aventura,2014,172
Steven Spielberg,En la Sombra 56,Documental,2021,106
Ridley Scott,En la Sombra 81,Romance,1965,96
Christopher Nolan,Más Allá del Tiempo 40,Acción,1982,150
Tim Burton,Misión Imposible 84,Acción,2020,81
David Fincher,Guerra de Mundos 79,Comedia,1995,150
Steven Spielberg,La Aventura Perdida 79,Romance,1994,154
Martin Scorsese,Más Allá del Tiempo 82,Fantasía,1955,142
Quentin Tarantino,Misión Imposible 18,Drama,1995,112
Stanley Kubrick,Horizonte Final 67,Fantasía,1965,164
Ridley Scott,Secretos Oscuros 34,Drama,2019,100
Tim Burton,Horizonte Final 69,Documental,1958,113
Ridley Scott,Secretos Oscuros 75,Fantasía,2018,168
James Cameron,Sueños de Libertad 32,Fantasía,1986,139
Quentin Tarantino,Más Allá del Tiempo 16,Suspenso,1983,124
Martin Scorsese,En la Sombra 98,Comedia,2001,133
Quentin Tarantino,Guerra de Mundos 55,Aventura,2002,133
Ridley Scott,Guerra de Mundos 63,Suspenso,2009,114
Ridley Scott,La Aventura Perdida 39,Aventura,1980,150
Stanley Kubrick,El Misterio 69,Drama,2012,114
Tim Burton,El Misterio 83,Romance,1996,157
Martin Scorsese,Guerra de Mundos 82,Documental,2002,116
Stanley Kubrick,Guerra de Mundos 85,Fantasía,1985,107
Alfred Hitchcock,Guerra de Mundos 40,Documental,1975,84
Stanley Kubrick,En la Sombra 31,Terror,2011,98
Quentin Tarantino,En la Sombra 33,Suspenso,1994,166
Tim Burton,El Regreso 75,Fantasía,1979,120
Ridley Scott,La Aventura Perdida 98,Comedia,1981,139
Tim Burton,Secretos Oscuros 47,Comedia,1995,154
Christopher Nolan,Misión Imposible 67,Comedia,1962,87
Tim Burton,La Aventura Perdida 52,Drama,1981,82
Steven Spielberg,Horizonte Final 85,Romance,1986,102
David Fincher,El Misterio 74,Aventura,1983,86
James Cameron,En la Sombra 80,Romance,1992,99
Quentin Tarantino,Sueños de Libertad 15,Fantasía,1968,134
Martin Scorsese,Sueños de Libertad 3,Romance,1954,152
Martin Scorsese,En la Sombra 71,Fantasía,2021,177
Martin Scorsese,Misión Imposible 81,Romance,2014,173
Alfred Hitchcock,En la Sombra 20,Fantasía,1988,119
David Fincher,Misión Imposible 15,Comedia,1954,152
Tim Burton,En la Sombra 80,Documental,1975,146
Alfred Hitchcock,El Misterio 62,Romance,1996,166
James Cameron,Sueños de Libertad 34,Acción,2017,157
Steven Spielberg,En la Sombra 43,Documental,1988,101
Alfred Hitchcock,Guerra de Mundos 24,Comedia,1963,120
Alfred Hitchcock,El Misterio 39,Ciencia Ficción,2009,151
Christopher Nolan,Horizonte Final 19,Romance,1996,130
Alfred Hitchcock,Sueños de Libertad 25,Fantasía,2009,154
David Fincher,Más Allá del Tiempo 37,Aventura,2009,153
Quentin Tarantino,Sueños de Libertad 83,Suspenso,1959,147
David Fincher,La Aventura Perdida 88,Acción,2020,123
Alfred Hitchcock,Más Allá del Tiempo 92,Aventura,2000,80
Stanley Kubrick,El Misterio 67,Acción,2007,130
Martin Scorsese,Sueños de Libertad 48,Acción,2019,127
Christopher Nolan,En la Sombra 83,Documental,1953,100
Quentin Tarantino,Horizonte Final 62,Aventura,2023,106
Tim Burton,Misión Imposible 18,Suspenso,1979,100
David Fincher,Más Allá del Tiempo 39,Terror,2007,152
Martin Scorsese,La Aventura Perdida 28,Terror,1980,165
Quentin Tarantino,La Aventura Perdida 39,Romance,1996,98
Ridley Scott,Misión Imposible 75,Acción,1967,85
Stanley Kubrick,En la Sombra 4,Romance,1966,111
Alfred Hitchcock,Más Allá del Tiempo 16,Romance,1973,178
James Cameron,Misión Imposible 41,Drama,1967,108
Christopher Nolan,Más Allá del Tiempo 65,Romance,1997,126
Stanley Kubrick,Misión Imposible 64,Suspenso,1986,126
Quentin Tarantino,El Misterio 80,Fantasía,2015,116
Christopher Nolan,En la Sombra 40,Ciencia Ficción,1997,98
Quentin Tarantino,Más Allá del Tiempo 34,Romance,1951,83
Martin Scorsese,El Regreso 23,Documental,2000,125
David Fincher,Más Allá del Tiempo 17,Documental,1955,173
Alfred Hitchcock,Secretos Oscuros 100,Acción,1955,156
Ridley Scott,Misión Imposible 53,Documental,1959,169
Tim Burton,Guerra de Mundos 85,Terror,1964,115
Quentin Tarantino,El Regreso 57,Drama,2022,157
David Fincher,Más Allá del Tiempo 86,Acción,1965,124
David Fincher,Secretos Oscuros 88,Romance,1954,135
Ridley Scott,Guerra de Mundos 40,Documental,1970,129
Martin Scorsese,Más Allá del Tiempo 43,Ciencia Ficción,2016,147
Martin Scorsese,La Aventura Perdida 65,Suspenso,1964,151
Ridley Scott,Más Allá del Tiempo 50,Documental,2022,93
Christopher Nolan,La Aventura Perdida 5,Drama,1994,150
Ridley Scott,Misión Imposible 37,Fantasía,2018,179
Tim Burton,La Aventura Perdida 52,Fantasía,2006,165
Christopher Nolan,Guerra de Mundos 90,Comedia,1981,161
James Cameron,El Misterio 67,Romance,2023,104
Tim Burton,Secretos Oscuros 58,Aventura,1974,106
David Fincher,Horizonte Final 70,Documental,1965,92
Christopher Nolan,Horizonte Final 47,Terror,2005,99
Ridley Scott,La Aventura Perdida 85,Romance,1953,126
David Fincher,El Regreso 88,Romance,1978,113
Christopher Nolan,La Aventura Perdida 4,Drama,2014,142
Steven Spielberg,El Regreso 61,Documental,1974,134
David Fincher,El Misterio 58,Aventura,1974,169
Ridley Scott,Guerra de Mundos 74,Romance,1969,101
Tim Burton,Guerra de Mundos 26,Aventura,1966,171
Martin Scorsese,La Aventura Perdida 4,Romance,2009,104
Tim Burton,Misión Imposible 70,Suspenso,1976,163
Ridley Scott,En la Sombra 76,Acción,2019,159
Steven Spielberg,Sueños de Libertad 1,Romance,2008,135
Christopher Nolan,El Regreso 99,Suspenso,2023,112
Steven Spielberg,Sueños de Libertad 61,Acción,1953,117
Ridley Scott,El Misterio 42,Drama,1950,147
Tim Burton,En la Sombra 62,Suspenso,1983,150
Quentin Tarantino,Guerra de Mundos 95,Documental,2001,164
Tim Burton,Más Allá del Tiempo 13,Fantasía,2015,108
James Cameron,Secretos Oscuros 100,Fantasía,1969,117
Stanley Kubrick,Guerra de Mundos 39,Comedia,1995,125
Stanley Kubrick,Más Allá del Tiempo 15,Documental,1969,179
Quentin Tarantino,Sueños de Libertad 24,Suspenso,2021,125
Christopher Nolan,Horizonte Final 74,Aventura,1953,175
Ridley Scott,Misión Imposible 78,Aventura,1958,155
James Cameron,El Misterio 70,Aventura,1956,111
Martin Scorsese,El Misterio 83,Drama,1965,172
Tim Burton,Más Allá del Tiempo 17,Comedia,2008,120
James Cameron,En la Sombra 95,Suspenso,1994,95
Steven Spielberg,Guerra de Mundos 6,Ciencia Ficción,2022,140
Ridley Scott,El Regreso 53,Fantasía,1982,154
David Fincher,El Misterio 52,Suspenso,2012,99
Steven Spielberg,El Regreso 44,Fantasía,1958,141
David Fincher,Guerra de Mundos 65,Suspenso,1993,85
Stanley Kubrick,Guerra de Mundos 53,Ciencia Ficción,1992,93
Tim Burton,Secretos Oscuros 97,Ciencia Ficción,1969,122
Tim Burton,El Misterio 99,Aventura,2013,84
Tim Burton,Secretos Oscuros 83,Acción,1977,92
Steven Spielberg,Secretos Oscuros 76,Romance,1994,117
Tim Burton,Más Allá del Tiempo 46,Ciencia Ficción,1952,103
James Cameron,Misión Imposible 82,Suspenso,1950,166
David Fincher,El Misterio 49,Acción,1962,92
Tim Burton,Misión Imposible 5,Drama,1976,115
Christopher Nolan,Misión Imposible 95,Terror,1951,171
Stanley Kubrick,Secretos Oscuros 25,Documental,2006,148
Tim Burton,El Regreso 7,Fantasía,1953,157
Tim Burton,En la Sombra 7,Acción,1982,109
Christopher Nolan,El Misterio 51,Suspenso,1980,93
Steven Spielberg,La Aventura Perdida 58,Suspenso,1986,173
Quentin Tarantino,Más Allá del Tiempo 2,Aventura,1977,108
David Fincher,La Aventura Perdida 61,Drama,1992,120
Tim Burton,El Misterio 39,Acción,2013,148
Tim Burton,Horizonte Final 31,Acción,1980,104
Steven Spielberg,Guerra de Mundos 21,Ciencia Ficción,1957,116
Martin Scorsese,Guerra de Mundos 70,Ciencia Ficción,1965,93
Tim Burton,El Regreso 85,Suspenso,1994,162
David Fincher,Secretos Oscuros 14,Romance,2001,175
Ridley Scott,La Aventura Perdida 55,Comedia,1989,178
Stanley Kubrick,Horizonte Final 64,Aventura,1963,103
Christopher Nolan,El Regreso 92,Terror,1969,87
Steven Spielberg,En la Sombra 72,Ciencia Ficción,1989,91
Christopher Nolan,La Aventura Perdida 81,Terror,1984,122
Alfred Hitchcock,El Regreso 31,Aventura,2012,95
Quentin Tarantino,La Aventura Perdida 10,Suspenso,1960,124
Christopher Nolan,Guerra de Mundos 14,Documental,1989,123
Christopher Nolan,El Regreso 8,Ciencia Ficción,1970,107
Quentin Tarantino,Sueños de Libertad 57,Aventura,1996,134
David Fincher,Misión Imposible 59,Terror,1959,90
David Fincher,Guerra de Mundos 69,Acción,1952,128
Tim Burton,En la Sombra 90,Romance,1956,93
Martin Scorsese,El Misterio 13,Aventura,2009,107
Steven Spielberg,Guerra de Mundos 70,Acción,1990,161
Christopher Nolan,El Regreso 49,Drama,1993,127
Stanley Kubrick,En la Sombra 96,Documental,1990,169
Christopher Nolan,La Aventura Perdida 52,Fantasía,2002,92
Alfred Hitchcock,Secretos Oscuros 53,Aventura,2018,115
Christopher Nolan,El Misterio 19,Terror,1990,82
David Fincher,Sueños de Libertad 4,Romance,1964,105
Quentin Tarantino,Más Allá del Tiempo 2,Suspenso,1985,125
Stanley Kubrick,Secretos Oscuros 28,Ciencia Ficción,1987,109
Tim Burton,Guerra de Mundos 26,Drama,2003,130
Tim Burton,Guerra de Mundos 11,Romance,1975,129
James Cameron,Sueños de Libertad 23,Drama,1984,139
Steven Spielberg,El Regreso 8,Documental,2023,157
Quentin Tarantino,El Misterio 61,Drama,1980,153
Alfred Hitchcock,Más Allá del Tiempo 17,Comedia,1953,148
Martin Scorsese,El Regreso 66,Comedia,2022,164
David Fincher,El Regreso 73,Aventura,2003,105
Stanley Kubrick,Misión Imposible 72,Aventura,1964,159
Martin Scorsese,Guerra de Mundos 22,Terror,2022,115
Martin Scorsese,El Misterio 40,Romance,1972,173
James Cameron,Secretos Oscuros 92,Acción,1966,114
Ridley Scott,Horizonte Final 65,Fantasía,2020,93
James Cameron,Guerra de Mundos 17,Terror,1965,169
Alfred Hitchcock,Secretos Oscuros 76,Comedia,1956,85
Ridley Scott,Guerra de Mundos 35,Aventura,1972,159
Christopher Nolan,Secretos Oscuros 98,Terror,1994,160
James Cameron,El Misterio 61,Ciencia Ficción,2001,166
David Fincher,Más Allá del Tiempo 70,Suspenso,2002,86
Steven Spielberg,El Misterio 88,Comedia,1995,173
David Fincher,En la Sombra 27,Terror,1967,119
Ridley Scott,Misión Imposible 52,Comedia,2011,125
Ridley Scott,Sueños de Libertad 42,Terror,2014,105
Steven Spielberg,Más Allá del Tiempo 69,Fantasía,1974,85
James Cameron,La Aventura Perdida 39,Suspenso,2006,137
Martin Scorsese,Sueños de Libertad 64,Terror,1996,170
Ridley Scott,Secretos Oscuros 82,Suspenso,1983,125
David Fincher,El Regreso 64,Aventura,1962,98
David Fincher,La Aventura Perdida 46,Terror,1990,123
Christopher Nolan,El Regreso 31,Terror,1951,145
David Fincher,Misión Imposible 57,Acción,1964,179
Stanley Kubrick,El Misterio 80,Drama,1950,100
Ridley Scott,La Aventura Perdida 49,Documental,1954,104
Steven Spielberg,Más Allá del Tiempo 28,Documental,1978,144
Ridley Scott,En la Sombra 43,Aventura,2003,176
Tim Burton,En la Sombra 88,Drama,1989,107
Alfred Hitchcock,Más Allá del Tiempo 56,Romance,1997,156
Christopher Nolan,Horizonte Final 72,Drama,1974,101
Alfred Hitchcock,El Misterio 52,Aventura,1957,115
Quentin Tarantino,El Regreso 84,Acción,1958,139
Quentin Tarantino,Horizonte Final 18,Fantasía,1996,178
James Cameron,Horizonte Final 5,Fantasía,1953,89
Steven Spielberg,Misión Imposible 77,Acción,1982,163
David Fincher,Secretos Oscuros 71,Terror,1998,109
Alfred Hitchcock,Misión Imposible 1,Terror,2000,178
James Cameron,La Aventura Perdida 28,Fantasía,1972,88
Quentin Tarantino,Horizonte Final 69,Romance,1969,80
David Fincher,El Regreso 11,Comedia,1974,85
Steven Spielberg,El Regreso 98,Suspenso,1986,122
Stanley Kubrick,La Aventura Perdida 46,Comedia,1997,143
Martin Scorsese,Sueños de Libertad 47,Fantasía,2019,86
James Cameron,El Regreso 33,Terror,2000,114
Martin Scorsese,Más Allá del Tiempo 20,Romance,1996,158
Quentin Tarantino,Más Allá del Tiempo 35,Documental,1991,87
Martin Scorsese,El Regreso 37,Terror,1997,166
Martin Scorsese,En la Sombra 41,Ciencia Ficción,1974,177
Quentin Tarantino,El Misterio 99,Fantasía,2004,127
Steven Spielberg,Guerra de Mundos 3,Comedia,1973,160
Tim Burton,La Aventura Perdida 42,Romance,2013,162
Ridley Scott,Misión Imposible 20,Drama,2010,100
David Fincher,Misión Imposible 95,Romance,1950,136
Stanley Kubrick,Secretos Oscuros 99,Documental,1983,131
James Cameron,Misión Imposible 9,Romance,1966,156
Tim Burton,Misión Imposible 75,Terror,2006,172
Tim Burton,La Aventura Perdida 36,Acción,1978,105
Stanley Kubrick,Guerra de Mundos 92,Suspenso,1975,142
David Fincher,El Misterio 27,Aventura,1996,148
Steven Spielberg,Horizonte Final 38,Drama,1991,99
Christopher Nolan,Secretos Oscuros 89,Suspenso,1964,173
David Fincher,Secretos Oscuros 32,Fantasía,1987,174
Alfred Hitchcock,El Regreso 10,Fantasía,2000,142
Ridley Scott,En la Sombra 26,Terror,2006,114
David Fincher,La Aventura Perdida 81,Ciencia Ficción,2019,80
Stanley Kubrick,Guerra de Mundos 60,Documental,1965,150
Stanley Kubrick,Secretos Oscuros 74,Comedia,2009,168
Stanley Kubrick,Misión Imposible 82,Fantasía,2000,110
Stanley Kubrick,Guerra de Mundos 65,Documental,2021,116
Quentin Tarantino,El Regreso 74,Suspenso,1961,159
Martin Scorsese,El Regreso 84,Drama,1996,132
Stanley Kubrick,Secretos Oscuros 85,Terror,1990,94
Stanley Kubrick,El Misterio 24,Fantasía,1977,131
Quentin Tarantino,Horizonte Final 29,Comedia,1983,156
Christopher Nolan,Guerra de Mundos 89,Documental,1969,165
Alfred Hitchcock,En la Sombra 6,Terror,1986,111
Ridley Scott,Sueños de Libertad 78,Suspenso,2003,158
Tim Burton,Guerra de Mundos 77,Aventura,1954,109
Christopher Nolan,Horizonte Final 77,Acción,2004,112
Quentin Tarantino,El Misterio 67,Acción,1995,129
David Fincher,Misión Imposible 29,Documental,1970,89
David Fincher,La Aventura Perdida 37,Acción,1983,138
Steven Spielberg,La Aventura Perdida 2,Drama,2004,90
Stanley Kubrick,Secretos Oscuros 30,Romance,2018,157
Tim Burton,Sueños de Libertad 27,Fantasía,1961,170
Ridley Scott,Horizonte Final 48,Documental,1968,178
Alfred Hitchcock,Secretos Oscuros 93,Ciencia Ficción,1996,151
Martin Scorsese,Horizonte Final 72,Acción,2023,82
Alfred Hitchcock,La Aventura Perdida 3,Drama,1968,136
Quentin Tarantino,En la Sombra 85,Drama,1995,137
Tim Burton,Horizonte Final 73,Comedia,2018,112
Quentin Tarantino,Misión Imposible 72,Drama,2017,85
Steven Spielberg,Sueños de Libertad 97,Drama,1953,137
David Fincher,Más Allá del Tiempo 24,Romance,2023,84
James Cameron,El Regreso 100,Comedia,2012,90
Ridley Scott,El Regreso 71,Ciencia Ficción,2009,127
Ridley Scott,La Aventura Perdida 65,Aventura,1967,107
Steven Spielberg,Sueños de Libertad 2,Ciencia Ficción,2013,86
Tim Burton,En la Sombra 68,Documental,1992,106
James Cameron,El Misterio 78,Terror,1998,176
Tim Burton,Más Allá del Tiempo 52,Drama,2020,145
David Fincher,El Misterio 9,Ciencia Ficción,2022,147
Tim Burton,Guerra de Mundos 42,Suspenso,1970,104
James Cameron,Misión Imposible 90,Suspenso,1968,98
Alfred Hitchcock,El Misterio 37,Suspenso,1978,154
Quentin Tarantino,Más Allá del Tiempo 53,Acción,1953,111
Alfred Hitchcock,El Regreso 22,Romance,1952,99
Ridley Scott,Sueños de Libertad 45,Romance,2005,168
James Cameron,Guerra de Mundos 82,Documental,1996,128
Tim Burton,Más Allá del Tiempo 47,Acción,1984,130
Quentin Tarantino,El Regreso 94,Suspenso,1984,157
James Cameron,Sueños de Libertad 61,Ciencia Ficción,2016,165
Tim Burton,Secretos Oscuros 10,Terror,1989,156
Alfred Hitchcock,El Misterio 36,Ciencia Ficción,1960,86
David Fincher,Guerra de Mundos 21,Comedia,1993,168
James Cameron,Horizonte Final 19,Suspenso,1977,145
Alfred Hitchcock,La Aventura Perdida 53,Drama,1984,167
Tim Burton,En la Sombra 82,Aventura,2008,169
Quentin Tarantino,Guerra de Mundos 95,Comedia,2022,148
Stanley Kubrick,En la Sombra 56,Comedia,2011,177
David Fincher,En la Sombra 87,Fantasía,1961,150
Alfred Hitchcock,La Aventura Perdida 65,Suspenso,1987,170
David Fincher,En la Sombra 14,Fantasía,1970,100
Quentin Tarantino,Más Allá del Tiempo 60,Comedia,1981,95
Tim Burton,Más Allá del Tiempo 4,Comedia,1998,119
Stanley Kubrick,Horizonte Final 26,Drama,1993,117
Alfred Hitchcock,Más Allá del Tiempo 20,Romance,1997,169
Christopher Nolan,El Regreso 98,Terror,2018,127
Christopher Nolan,Sueños de Libertad 87,Terror,1963,174
Christopher Nolan,Más Allá del Tiempo 68,Romance,2004,110
Tim Burton,La Aventura Perdida 16,Acción,2011,94
Stanley Kubrick,Horizonte Final 100,Ciencia Ficción,1970,162
Stanley Kubrick,Misión Imposible 63,Suspenso,2018,132
Martin Scorsese,El Misterio 58,Acción,2006,92
Quentin Tarantino,Secretos Oscuros 84,Drama,2003,83
Martin Scorsese,En la Sombra 79,Terror,1955,159
Tim Burton,Guerra de Mundos 87,Drama,2011,84
Quentin Tarantino,El Regreso 42,Documental,1996,140
Martin Scorsese,El Regreso 39,Comedia,2000,145
Steven Spielberg,Sueños de Libertad 30,Suspenso,1998,137
Alfred Hitchcock,El Misterio 57,Fantasía,2001,121
Tim Burton,La Aventura Perdida 91,Acción,1955,80
Alfred Hitchcock,Sueños de Libertad 32,Documental,1973,145
James Cameron,El Misterio 77,Terror,1957,167
Alfred Hitchcock,Sueños de Libertad 69,Comedia,1959,101
Martin Scorsese,El Misterio 25,Ciencia Ficción,1976,145
Martin Scorsese,La Aventura Perdida 29,Acción,1961,144
Quentin Tarantino,Guerra de Mundos 21,Aventura,1953,89
Alfred Hitchcock,En la Sombra 53,Drama,1970,176
James Cameron,Más Allá del Tiempo 47,Drama,1959,99
Tim Burton,En la Sombra 16,Fantasía,1997,145
